year,level_1,level_2,value
1984,Brides Aged 40-44 Years,Grooms Aged Under 20 Years,0
1984,Brides Aged 40-44 Years,Grooms Aged 20-24 Years,0
1984,Brides Aged 40-44 Years,Grooms Aged 25-29 Years,1
1984,Brides Aged 40-44 Years,Grooms Aged 30-34 Years,11
1984,Brides Aged 40-44 Years,Grooms Aged 35-39 Years,12
1984,Brides Aged 40-44 Years,Grooms Aged 40-44 Years,38
1984,Brides Aged 40-44 Years,Grooms Aged 45-49 Years,30
1984,Brides Aged 40-44 Years,Grooms Aged 50-54 Years,16
1984,Brides Aged 40-44 Years,Grooms Aged 55-59 Years,6
1984,Brides Aged 40-44 Years,Grooms Aged 60 Years & Over,2
1984,Brides Aged 45-49 Years,Grooms Aged Under 20 Years,0
1984,Brides Aged 45-49 Years,Grooms Aged 20-24 Years,0
1984,Brides Aged 45-49 Years,Grooms Aged 25-29 Years,0
1984,Brides Aged 45-49 Years,Grooms Aged 30-34 Years,2
1984,Brides Aged 45-49 Years,Grooms Aged 35-39 Years,2
1984,Brides Aged 45-49 Years,Grooms Aged 40-44 Years,9
1984,Brides Aged 45-49 Years,Grooms Aged 45-49 Years,17
1984,Brides Aged 45-49 Years,Grooms Aged 50-54 Years,13
1984,Brides Aged 45-49 Years,Grooms Aged 55-59 Years,8
1984,Brides Aged 45-49 Years,Grooms Aged 60 Years & Over,4
1984,Brides Aged 50-54 Years,Grooms Aged Under 20 Years,0
1984,Brides Aged 50-54 Years,Grooms Aged 20-24 Years,0
1984,Brides Aged 50-54 Years,Grooms Aged 25-29 Years,0
1984,Brides Aged 50-54 Years,Grooms Aged 30-34 Years,1
1984,Brides Aged 50-54 Years,Grooms Aged 35-39 Years,1
1984,Brides Aged 50-54 Years,Grooms Aged 40-44 Years,1
1984,Brides Aged 50-54 Years,Grooms Aged 45-49 Years,4
1984,Brides Aged 50-54 Years,Grooms Aged 50-54 Years,1
1984,Brides Aged 50-54 Years,Grooms Aged 55-59 Years,4
1984,Brides Aged 50-54 Years,Grooms Aged 60 Years & Over,4
1984,Brides Aged 55-59 Years,Grooms Aged Under 20 Years,0
1984,Brides Aged 55-59 Years,Grooms Aged 20-24 Years,0
1984,Brides Aged 55-59 Years,Grooms Aged 25-29 Years,0
1984,Brides Aged 55-59 Years,Grooms Aged 30-34 Years,0
1984,Brides Aged 55-59 Years,Grooms Aged 35-39 Years,0
1984,Brides Aged 55-59 Years,Grooms Aged 40-44 Years,0
1984,Brides Aged 55-59 Years,Grooms Aged 45-49 Years,0
1984,Brides Aged 55-59 Years,Grooms Aged 50-54 Years,3
1984,Brides Aged 55-59 Years,Grooms Aged 55-59 Years,2
1984,Brides Aged 55-59 Years,Grooms Aged 60 Years & Over,2
1984,Brides Aged 60 Years & Over,Grooms Aged Under 20 Years,0
1984,Brides Aged 60 Years & Over,Grooms Aged 20-24 Years,0
1984,Brides Aged 60 Years & Over,Grooms Aged 25-29 Years,0
1984,Brides Aged 60 Years & Over,Grooms Aged 30-34 Years,0
1984,Brides Aged 60 Years & Over,Grooms Aged 35-39 Years,0
1984,Brides Aged 60 Years & Over,Grooms Aged 40-44 Years,0
1984,Brides Aged 60 Years & Over,Grooms Aged 45-49 Years,0
1984,Brides Aged 60 Years & Over,Grooms Aged 50-54 Years,1
1984,Brides Aged 60 Years & Over,Grooms Aged 55-59 Years,1
1984,Brides Aged 60 Years & Over,Grooms Aged 60 Years & Over,5
1985,Total,Grooms Aged Under 20 Years,70
1985,Total,Grooms Aged 20-24 Years,4206
1985,Total,Grooms Aged 25-29 Years,8866
1985,Total,Grooms Aged 30-34 Years,3727
1985,Total,Grooms Aged 35-39 Years,1046
1985,Total,Grooms Aged 40-44 Years,282
1985,Total,Grooms Aged 45-49 Years,171
1985,Total,Grooms Aged 50-54 Years,67
1985,Total,Grooms Aged 55-59 Years,34
1985,Total,Grooms Aged 60 Years & Over,26
1985,Brides Aged Under 20 Years,Grooms Aged Under 20 Years,52
1985,Brides Aged Under 20 Years,Grooms Aged 20-24 Years,671
1985,Brides Aged Under 20 Years,Grooms Aged 25-29 Years,304
1985,Brides Aged Under 20 Years,Grooms Aged 30-34 Years,44
1985,Brides Aged Under 20 Years,Grooms Aged 35-39 Years,7
1985,Brides Aged Under 20 Years,Grooms Aged 40-44 Years,1
1985,Brides Aged Under 20 Years,Grooms Aged 45-49 Years,1
1985,Brides Aged Under 20 Years,Grooms Aged 50-54 Years,0
1985,Brides Aged Under 20 Years,Grooms Aged 55-59 Years,0
1985,Brides Aged Under 20 Years,Grooms Aged 60 Years & Over,0
1985,Brides Aged 20-24 Years,Grooms Aged Under 20 Years,17
1985,Brides Aged 20-24 Years,Grooms Aged 20-24 Years,3122
1985,Brides Aged 20-24 Years,Grooms Aged 25-29 Years,4447
1985,Brides Aged 20-24 Years,Grooms Aged 30-34 Years,892
1985,Brides Aged 20-24 Years,Grooms Aged 35-39 Years,119
1985,Brides Aged 20-24 Years,Grooms Aged 40-44 Years,18
1985,Brides Aged 20-24 Years,Grooms Aged 45-49 Years,5
1985,Brides Aged 20-24 Years,Grooms Aged 50-54 Years,2
1985,Brides Aged 20-24 Years,Grooms Aged 55-59 Years,1
1985,Brides Aged 20-24 Years,Grooms Aged 60 Years & Over,0
1985,Brides Aged 25-29 Years,Grooms Aged Under 20 Years,1
1985,Brides Aged 25-29 Years,Grooms Aged 20-24 Years,388
1985,Brides Aged 25-29 Years,Grooms Aged 25-29 Years,3775
1985,Brides Aged 25-29 Years,Grooms Aged 30-34 Years,1913
1985,Brides Aged 25-29 Years,Grooms Aged 35-39 Years,340
1985,Brides Aged 25-29 Years,Grooms Aged 40-44 Years,54
1985,Brides Aged 25-29 Years,Grooms Aged 45-49 Years,25
1985,Brides Aged 25-29 Years,Grooms Aged 50-54 Years,3
1985,Brides Aged 25-29 Years,Grooms Aged 55-59 Years,1
1985,Brides Aged 25-29 Years,Grooms Aged 60 Years & Over,0
1985,Brides Aged 30-34 Years,Grooms Aged Under 20 Years,0
1985,Brides Aged 30-34 Years,Grooms Aged 20-24 Years,22
1985,Brides Aged 30-34 Years,Grooms Aged 25-29 Years,292
1985,Brides Aged 30-34 Years,Grooms Aged 30-34 Years,781
1985,Brides Aged 30-34 Years,Grooms Aged 35-39 Years,374
1985,Brides Aged 30-34 Years,Grooms Aged 40-44 Years,68
1985,Brides Aged 30-34 Years,Grooms Aged 45-49 Years,44
1985,Brides Aged 30-34 Years,Grooms Aged 50-54 Years,12
1985,Brides Aged 30-34 Years,Grooms Aged 55-59 Years,3
1985,Brides Aged 30-34 Years,Grooms Aged 60 Years & Over,1
1985,Brides Aged 35-39 Years,Grooms Aged Under 20 Years,0
1985,Brides Aged 35-39 Years,Grooms Aged 20-24 Years,2
1985,Brides Aged 35-39 Years,Grooms Aged 25-29 Years,39
1985,Brides Aged 35-39 Years,Grooms Aged 30-34 Years,91
1985,Brides Aged 35-39 Years,Grooms Aged 35-39 Years,178
1985,Brides Aged 35-39 Years,Grooms Aged 40-44 Years,97
1985,Brides Aged 35-39 Years,Grooms Aged 45-49 Years,47
1985,Brides Aged 35-39 Years,Grooms Aged 50-54 Years,22
1985,Brides Aged 35-39 Years,Grooms Aged 55-59 Years,6
1985,Brides Aged 35-39 Years,Grooms Aged 60 Years & Over,5
1985,Brides Aged 40-44 Years,Grooms Aged Under 20 Years,0
1985,Brides Aged 40-44 Years,Grooms Aged 20-24 Years,0
1985,Brides Aged 40-44 Years,Grooms Aged 25-29 Years,8
